"scenario","mean","bias","variance_bias","coverage_rate","se_bias","se_coverage","runtime_mins"
1,-0.028052456520676,-0.028052456520676,0.852139335936249,0.972631578947368,0.0423108578138248,0.0074781742061408,14.7994525154432
2,0.0191780082115625,0.0191780082115625,0.178018859639206,0.939075630252101,0.0193388004003015,0.0109633260800182,17.7256584008535
3,0.00718302033814806,0.00718302033814806,0.0811646414410317,0.951680672268908,0.0130580991192137,0.00982884734459416,20.6938469847043
4,0.50847878518952,0.00847878518951972,0.973955882105782,0.953781512605042,0.0452341221064722,0.00962340664732339,15.0497674306234
5,0.516145058847363,0.0161450588473628,0.153614445503884,0.960084033613445,0.0179643932078845,0.00897272735369953,17.7661465326945
6,0.513335408254519,0.0133354082545194,0.074642325840844,0.964285714285714,0.0125224442066769,0.00850590199325833,20.5546031634013
7,1.94388829976796,-0.0561117002320408,0.860451180722614,0.962105263157895,0.0425167090417001,0.00875179762588217,15.1315705339114
8,1.99600627956266,-0.00399372043733526,0.162565947875987,0.953781512605042,0.0184803977386799,0.00962340664732339,17.7229479988416
9,2.00993182377858,0.00993182377857504,0.0756738323252248,0.964285714285714,0.0126086731791536,0.00850590199325833,20.6054361661275
10,-0.0380394929214734,-0.0380394929214734,0.715795894564567,0.976694915254237,0.038778510643663,0.00691514562494474,15.0983272155126
11,0.010404624932285,0.010404624932285,0.204452414474867,0.98109243697479,0.0207249096294503,0.00624265401664629,17.6865845521291
12,-0.0170340219683236,-0.0170340219683236,0.0739185480201826,0.951680672268908,0.0124615836581588,0.00982884734459416,20.7220785975456
13,0.546837091748027,0.0468370917480265,0.981268955603442,0.983193277310924,0.0454036276362169,0.00589192881230424,15.0109330693881
14,0.514123094450204,0.0141230944502039,0.165627703973719,0.976890756302521,0.0186536152337644,0.00688671943116238,17.7873527328173
15,0.490536503931006,-0.00946349606899388,0.0713881629557675,0.955882352941177,0.0122464334506017,0.00941249842666481,20.6734085520109
16,1.97602537107273,-0.0239746289272706,0.828863177802807,0.976793248945148,0.0417289970771491,0.00690088865309208,15.0635079979897
17,2.00949450585505,0.00949450585504641,0.223379959617417,0.964285714285714,0.0216630013951981,0.00850590199325833,17.7814261317253
18,2.00262207464155,0.0026220746415464,0.0649477458174022,0.976890756302521,0.0116809607547584,0.00688671943116238,263.340808749199
