"scenario","mean","bias","variance_bias","coverage_rate","se_bias","se_coverage","runtime_mins"
1,0.0724283671513449,0.0724283671513449,1.06134499846226,0.863157894736842,0.0472695517545749,0.0157691466571713,1.08923876682917
2,-0.0179743207409976,-0.0179743207409976,0.165308235343513,0.934736842105263,0.0186552227959167,0.0113326615182418,1.2218248963356
3,0.00298127398113787,0.00298127398113787,0.0681880184667605,0.968421052631579,0.0119813906992434,0.00802387456630767,1.33949848016103
4,0.460537435426911,-0.0394625645730891,0.907783608095585,0.856236786469345,0.0437163972150541,0.0160980778169971,1.05769660075506
5,0.477571147172141,-0.0224288528278594,0.161002264374398,0.930526315789474,0.0184106527729206,0.0116661535998931,1.22412819862366
6,0.497434417136399,-0.00256558286360059,0.0708887516311435,0.957894736842105,0.0122163610423971,0.00921468050361963,1.33871176640193
7,1.98889651518483,-0.0111034848151741,0.865665029845488,0.854736842105263,0.0426901943590276,0.0161676592618321,1.06607678333918
8,2.00845664276945,0.0084566427694508,0.172397826198812,0.91578947368421,0.0190510575033907,0.0127419005087779,1.2241384824117
9,1.98395226208865,-0.0160477379113451,0.074654452063739,0.949473684210526,0.0125366370092864,0.0100497087888907,1.31135726372401
10,-0.0162995406849588,-0.0162995406849588,0.951592596987523,0.835789473684211,0.0447588296960857,0.0169981689021823,1.09748671452204
11,0.0189450388472103,0.0189450388472103,0.144338500284883,0.941052631578947,0.0174318824834137,0.0108066817709946,1.1969634493192
12,-0.00814223566938875,-0.00814223566938875,0.0816665023270021,0.934736842105263,0.0131121881691487,0.0113326615182418,1.22240022023519
13,0.392885201227277,-0.107114798772723,0.888707459604433,0.881606765327696,0.0432546306521214,0.0148236139251663,1.08721714814504
14,0.497650841923311,-0.00234915807668939,0.154858782874627,0.941052631578947,0.0180559821184662,0.0108066817709946,1.15866428613663
15,0.479238315918162,-0.0207616840818385,0.0769902999353392,0.926315789473684,0.0127312545324149,0.0119872605751123,1.16528004805247
16,1.9690802610787,-0.0309197389213043,0.976854290941038,0.843881856540084,0.0453490391226711,0.0166540823977372,1.05393135150274
17,2.0091046483104,0.00910464831039759,0.164066595345227,0.936842105263158,0.0185850304982675,0.0111609257368593,0.570599516232808
18,2.00235557275871,0.00235557275870635,0.0699929273027379,0.938947368421053,0.0121389262772149,0.0109856564623084,0.5176327308019
