"scenario","mean","bias","variance_bias","coverage_rate","se_bias","se_coverage","runtime_mins"
1,0.0724283671513449,0.0724283671513449,1.06134499846226,0.934736842105263,0.0472695517545749,0.0113326615182418,0.183568433920542
2,-0.0179743207409976,-0.0179743207409976,0.165308235343513,0.945263157894737,0.0186552227959167,0.0104368497184489,0.184766900539398
3,0.00298127398113787,0.00298127398113787,0.0681880184667605,0.972631578947368,0.0119813906992434,0.00748604182978561,0.186393717924754
4,0.460537435426911,-0.0394625645730891,0.907783608095585,0.951374207188161,0.0437163972150541,0.00986875186319872,0.182848167419434
5,0.477571147172141,-0.0224288528278594,0.161002264374398,0.947368421052632,0.0184106527729206,0.0102455634398376,0.183831616242727
6,0.497434417136399,-0.00256558286360059,0.0708887516311435,0.962105263157895,0.0122163610423971,0.00876100520089152,0.183878084023794
7,1.98889651518483,-0.0111034848151741,0.865665029845488,0.947368421052632,0.0426901943590276,0.0102455634398376,0.182412366072337
8,2.00845664276945,0.0084566427694508,0.172397826198812,0.932631578947368,0.0190510575033907,0.0115010220962273,0.183574283123016
9,1.98395226208865,-0.0160477379113451,0.074654452063739,0.955789473684211,0.0125366370092864,0.00943185595161088,0.256662782033285
10,-0.0162995406849588,-0.0162995406849588,0.951592596987523,0.949473684210526,0.0447588296960857,0.0100497087888907,0.261432965596517
11,0.0189450388472103,0.0189450388472103,0.144338500284883,0.962105263157895,0.0174318824834137,0.00876100520089152,0.25521388053894
12,-0.00814223566938875,-0.00814223566938875,0.0816665023270021,0.953684210526316,0.0131121881691487,0.00964317452852573,0.259597917397817
13,0.392885201227277,-0.107114798772723,0.888707459604433,0.968287526427061,0.0432546306521214,0.0080402661114411,0.255535848935445
14,0.497650841923311,-0.00234915807668939,0.154858782874627,0.962105263157895,0.0180559821184662,0.00876100520089152,0.257294615109762
15,0.479238315918162,-0.0207616840818385,0.0769902999353392,0.938947368421053,0.0127312545324149,0.0109856564623084,0.247293015321096
16,1.9690802610787,-0.0309197389213043,0.976854290941038,0.964135021097046,0.0453490391226711,0.00853212902303859,0.245471016565959
17,2.0091046483104,0.00910464831039759,0.164066595345227,0.955789473684211,0.0185850304982675,0.00943185595161088,0.114163136482239
18,2.00235557275871,0.00235557275870635,0.0699929273027379,0.957894736842105,0.0121389262772149,0.00921468050361963,0.10006560087204
